Ski Resort,Pistes,Top,Beg,Int,Exp,Resort Lat,Resort Lon
Les Sybelles,240km,"2,620m",4,3,3,45.24964139999999,6.282505599999999
Tourmalet,240km,"2,500m",4,2,1,54.5259614,15.2551187
Alpe d'Huez,236km,"3,330m",4,5,5,45.0923807,6.0683611
Hintertux,236km,"3,250m",2,4,1,47.1146366,11.6818212
Flims,235km,"3,018m",4,5,4,46.8366348,9.2846923
Laax,235km,"2,477m",4,5,4,46.8091625,9.2607783
Tux - Finkenberg,227km,"3,250m",3,4,4,47.1540524,11.8248081
Arosa Lenzerheide,225km,"2,870m",-,-,-,46.7685922,9.6107555
La Plagne,225km,"3,250m",4,5,4,45.50673860000001,6.6751838
Alpes Vaudoises,220km,"2,970m",-,-,-,46.8873983,9.6567822
Les Deux Alpes,220km,"3,600m",5,5,5,45.0176294,6.1248743
Trevalli,218km,"2,513m",4,5,3,46.0528299,10.7775017
Grandvalira,216km,"2,640m",4,5,3,54.5259614,15.2551187
Montchavin-Les Coches,215km,"3,250m",4,3,4,45.560399,6.736015
Serfaus-Fiss-Ladis,214km,"2,828m",2,4,1,47.0559711,10.6192154
Grindelwald,213km,"2,950m",4,4,3,46.624164,8.0413962
Lauterbrunnen,213km,"2,971m",2,3,1,46.5935058,7.9090981
Monterosa,213km,"3,550m",4,4,4,44.5279767,8.6170982
Champagny en Vanoise,212km,"3,250m",4,2,1,45.4547979,6.692988
Adelboden,210km,"2,350m",3,3,1,46.4930889,7.5595123
Gastein,205km,"2,700m",4,5,4,47.1140887,13.132661
Dorfgastein,201km,"2,033m",4,5,4,47.2438469,13.1024412
Ischgl,200km,"2,900m",2,4,1,47.0118452,10.2884195
Les Arcs,200km,"3,230m",4,5,5,45.571785,6.8083521
Saalbach Hinterglemm,200km,"2,019m",4,5,4,47.3919414,12.6415585
Samnaun,200km,"2,900m",1,4,2,46.9497817,10.3686809
Thyon les Collons,200km,"2,100m",4,-,4,46.180865,7.371892
Riksgränsen,199km,910m,2,4,1,68.4300824,18.125392
Dachstein-Tauern,197km,"2,700m",2,4,3,47.47513439999999,13.6056385
Espace Diamant,185km,"2,070m",4,5,3,45.8175841,6.513462499999999
Alta Valtellina,184km,"3,020m",4,4,3,46.4690543,10.376152
La Forêt Blanche,180km,"2,750m",4,5,3,44.5727564,6.6800519
Risoul,180km,"2,750m",4,5,3,44.648326,6.636775
Val Gardena,176km,"2,518m",4,5,3,46.5597584,11.7049259
